day,stage,bib,rank,time,bonus,penalty,start_location,start_country_code,start_country_name,start_region,finish_location,finish_country_code,finish_country_name,finish_region,length,type,rider,team,dob,rider_country_code,rider_country_name,rider_region,team_country_code,team_country_name,team_region
2025-07-04,1,101,1,13991,10,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jasper Philipsen,ALPECIN-DECEUNINCK,1998-03-02,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,41,2,13991,6,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Biniam Girmay,INTERMARCHÉ - WANTY,2000-04-02,ERI,Eritrea,Africa,BEL,Belgium,Europe
2025-07-04,1,228,3,13991,4,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Soren Waerenskjold,UNO-X MOBILITY,2000-03-12,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-04,1,187,4,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Anthony Turgis,TOTALENERGIES,1994-05-16,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,118,5,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Matteo Trentin,TUDOR PRO CYCLING TEAM,1989-08-02,ITA,Italy,Europe,SUI,Switzerland,Europe
2025-07-04,1,98,6,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Clément Russo,GROUPAMA-FDJ,1995-01-20,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,97,7,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Paul Penhoet,GROUPAMA-FDJ,2001-12-28,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,15,8,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Matteo Jorgenson,TEAM VISMA | LEASE A BIKE,1999-07-01,USA,United States of America,North America,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,116,9,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Marius Mayrhofer,TUDOR PRO CYCLING TEAM,2000-09-18,GER,Germany,Europe,SUI,Switzerland,Europe
2025-07-04,1,68,10,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Samuel Watson,INEOS GRENADIERS,2001-09-24,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,Europe
